标题,个人评分,打分日期,条目链接,评论
"致命魔术 / The Prestige","4","2022-08-03","https://movie.douban.com/subject/1780330/","",
"第九区 / District 9","4","2022-08-03","https://movie.douban.com/subject/3006772/","",
"阿凡达 / Avatar","4","2022-08-03","https://movie.douban.com/subject/1652587/","",
"头号玩家 / Ready Player One","4","2022-08-03","https://movie.douban.com/subject/4920389/","",
"看不见的客人 / Contratiempo","","2022-08-03","https://movie.douban.com/subject/26580232/","",
"超能陆战队 / Big Hero 6","","2022-08-03","https://movie.douban.com/subject/11026735/","",
"哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallow...","","2022-08-03","https://movie.douban.com/subject/2051007/","",
"哈利·波特与混血王子 / Harry Potter and the Half-Blood Prince","","2022-08-03","https://movie.douban.com/subject/1433330/","",
"哈利·波特与凤凰社 / Harry Potter and the Order of the Phoenix","","2022-08-03","https://movie.douban.com/subject/1457217/","",
"哈利·波特与火焰杯 / Harry Potter and the Goblet of Fire","","2022-08-03","https://movie.douban.com/subject/1309055/","",
"哈利·波特与阿兹卡班的囚徒 / Harry Potter and the Prisoner of ...","","2022-08-03","https://movie.douban.com/subject/1291544/","",
"哈利·波特与密室 / Harry Potter and the Chamber of Secrets","","2022-08-03","https://movie.douban.com/subject/1296996/","",
"哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallow...","","2022-08-03","https://movie.douban.com/subject/3011235/","",
"哈尔的移动城堡 / ハウルの動く城","","2022-08-03","https://movie.douban.com/subject/1308807/","",
"喜剧之王 / 喜劇之王","","2022-08-03","https://movie.douban.com/subject/1302425/","",
"功夫","","2022-08-03","https://movie.douban.com/subject/1291543/","",
"哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone","","2022-08-03","https://movie.douban.com/subject/1295038/","",
"唐伯虎点秋香 / 唐伯虎點秋香","","2022-08-03","https://movie.douban.com/subject/1306249/","",
"神偷奶爸 / Despicable Me","","2022-08-03","https://movie.douban.com/subject/3287562/","",
"龙猫 / となりのトトロ","","2022-08-03","https://movie.douban.com/subject/1291560/","",
"疯狂的石头","","2022-08-03","https://movie.douban.com/subject/1862151/","",
"忠犬八公物语 / ハチ公物語","","2022-08-03","https://movie.douban.com/subject/1959195/","",
"猫鼠游戏 / Catch Me If You Can","","2022-08-03","https://movie.douban.com/subject/1305487/","",
"千与千寻 / 千と千尋の神隠し","","2022-08-03","https://movie.douban.com/subject/1291561/","",
"教父2 / The Godfather: Part II","","2022-08-03","https://movie.douban.com/subject/1299131/","",
"教父3 / The Godfather: Part III","","2022-08-03","https://movie.douban.com/subject/1294240/","",
"疯狂动物城 / Zootopia","5","2022-08-03","https://movie.douban.com/subject/25662329/","",
"辛德勒的名单 / Schindler's List","5","2022-08-03","https://movie.douban.com/subject/1295124/","",
"教父 / The Godfather","","2022-08-03","https://movie.douban.com/subject/1291841/","",
"泰坦尼克号 / Titanic","","2022-08-03","https://movie.douban.com/subject/1292722/","",
