标题,个人评分,打分日期,条目链接,评论
"平凡的世界","","2022-09-10","https://book.douban.com/subject/10517238/","",
"格列佛游记","","2022-09-10","https://book.douban.com/subject/26802223/","",
"基督山伯爵","","2022-09-10","https://book.douban.com/subject/30286914/","",
"故事新编","","2022-10-05","https://book.douban.com/subject/2046909/","",
"酒国","","2022-10-05","https://book.douban.com/subject/26904516/","",
"从一到无穷大","","2022-10-08","https://book.douban.com/subject/30466214/","",
"丧钟为谁而鸣","","2022-11-20","https://book.douban.com/subject/33657708/","",
"安娜·卡列尼娜","","2022-12-25","https://book.douban.com/subject/2253380/","",
"撒哈拉的故事","","2023-07-27","https://book.douban.com/subject/1060068/","",
"荒原狼","","2023-07-30","https://book.douban.com/subject/3131626/","",
"从马尔克斯到略萨","","2023-07-30","https://book.douban.com/subject/35396611/","",
"酒吧长谈","","2023-07-30","https://book.douban.com/subject/34933180/","",
"呼兰河传","","2023-07-30","https://book.douban.com/subject/1060852/","",
"窗边的小豆豆","","2023-07-30","https://book.douban.com/subject/1007914/","",
"哭泣的骆驼","","2023-07-30","https://book.douban.com/subject/1029111/","",
"台北人","","2023-07-30","https://book.douban.com/subject/5337248/","",
"死屋手记","","2023-07-30","https://book.douban.com/subject/25887915/","",
"群魔","","2023-07-30","https://book.douban.com/subject/1437488/","",
"白痴","","2023-07-30","https://book.douban.com/subject/25887933/","",
"卡拉马佐夫兄弟","","2023-07-30","https://book.douban.com/subject/1856494/","",
"罪与罚","","2023-07-30","https://book.douban.com/subject/1858568/","",
"基督山伯爵","","2023-07-30","https://book.douban.com/subject/1085860/","",
"平凡的世界（全三部）","","2023-07-30","https://book.douban.com/subject/1200840/","",
"杀死一只知更鸟","","2023-07-30","https://book.douban.com/subject/6781808/","",
"将熟悉变为陌生","","2023-08-18","https://book.douban.com/subject/36409321/","",
"黑塞书信集","","2023-08-18","https://book.douban.com/subject/36282861/","",
"精神与爱欲","","2023-08-18","https://book.douban.com/subject/35492879/","",
"克林索尔的最后夏天","","2023-08-18","https://book.douban.com/subject/30389968/","",
"悉达多","","2023-08-18","https://book.douban.com/subject/26980487/","",
"尤利西斯","","2023-08-24","https://book.douban.com/subject/36059410/","",
"尤利西斯","","2023-08-24","https://book.douban.com/subject/5958737/","",
"道德经","","2023-09-16","https://book.douban.com/subject/35461183/","",
"燃烧的原野","","2023-09-17","https://book.douban.com/subject/35221699/","",
"佩德罗·巴拉莫","","2023-09-17","https://book.douban.com/subject/35221700/","",
"跳房子","","2023-09-17","https://book.douban.com/subject/2969263/","",
"三只忧伤的老虎","","2023-09-17","https://book.douban.com/subject/27625543/","",
"荒野侦探","","2023-09-17","https://book.douban.com/subject/21855881/","",
"2666","","2023-09-17","https://book.douban.com/subject/6800379/","",
"阿莱夫","","2023-10-20","https://book.douban.com/subject/25796122/","",
"诺兰变奏曲","","2023-10-20","https://book.douban.com/subject/36478323/","",
"包法利夫人","","2023-10-21","https://book.douban.com/subject/25897678/","",
"坟场之书","","2024-01-26","https://book.douban.com/subject/34954108/","",
"惨败","","2024-01-30","https://book.douban.com/subject/35268282/","",
"我是谁？","","2024-02-01","https://book.douban.com/subject/36402010/","",
"岁华·寻梦","","2024-02-06","https://book.douban.com/subject/4297016/","",
"机器人大师","","2024-02-10","https://book.douban.com/subject/35397446/","",
"刀锋","","2024-02-12","https://book.douban.com/subject/2035162/","",
"月牙儿","","2024-02-13","https://book.douban.com/subject/26991824/","",
"也许你该找个人聊聊 自助练习手册","","2024-02-13","https://book.douban.com/subject/36639634/","",
"知识与爱情","","2024-03-17","https://book.douban.com/subject/19967343/","",
"红玫瑰与白玫瑰","","2024-05-01","https://book.douban.com/subject/10757939/","",
"倾城之恋","","2024-05-01","https://book.douban.com/subject/30294357/","",
"爸爸爸","","2024-05-04","https://book.douban.com/subject/1027989/","",
"铁皮鼓","","2024-05-12","https://book.douban.com/subject/1849791/","",
"一位女士的画像","","2024-05-25","https://book.douban.com/subject/26986886/","",
"公羊的节日","","2024-05-26","https://book.douban.com/subject/34933181/","",
"我们八月见","","2024-06-01","https://book.douban.com/subject/36754770/","",
"伊凡·伊里奇之死","","2024-06-01","https://book.douban.com/subject/35491439/","",
"面纱","","2024-06-01","https://book.douban.com/subject/10560798/","",
"屠夫十字镇","","2024-06-05","https://book.douban.com/subject/26765928/","",
"奥古斯都","","2024-06-05","https://book.douban.com/subject/27180479/","",
"认识电影","","2024-06-08","https://book.douban.com/subject/2326403/","",
"雕刻时光","","2024-06-08","https://book.douban.com/subject/26435510/","",
"黑铁时代","","2024-06-09","https://book.douban.com/subject/36663631/","",
"魔山","","2024-07-11","https://book.douban.com/subject/26117522/","",
"猛虎下山","","2024-07-19","https://book.douban.com/subject/36848162/","",
"白鲸","","2024-07-31","https://book.douban.com/subject/35524699/","",
"浮生六记","","2024-08-24","https://book.douban.com/subject/1088581/","",
"青春","","2024-08-30","https://book.douban.com/subject/36557102/","",
"驼背小人","","2024-09-30","https://book.douban.com/subject/1060489/","",
"心安即是归处","","2024-10-19","https://book.douban.com/subject/36884859/","",
"人间草木","","2024-10-19","https://book.douban.com/subject/1253310/","",
