标题,个人评分,打分日期,条目链接,评论
"记忆碎片 / Memento","","2022-08-03","https://movie.douban.com/subject/1304447/","",
"钢之炼金术师 / 鋼の錬金術師","","2022-10-08","https://movie.douban.com/subject/1433342/","",
"萤火之森 / 蛍火の杜へ","","2022-12-09","https://movie.douban.com/subject/5989818/","",
"钢之炼金术师FA / 鋼の錬金術師 FULLMETAL ALCHEMIST","","2023-01-15","https://movie.douban.com/subject/3430169/","",
"大红灯笼高高挂","","2023-02-12","https://movie.douban.com/subject/1293323/","",
"尼罗河上的惨案 / Death on the Nile","","2023-02-12","https://movie.douban.com/subject/1302100/","",
"椒麻堂会","","2023-04-16","https://movie.douban.com/subject/27305997/","",
"狮子王 / The Lion King","","2023-06-24","https://movie.douban.com/subject/1301753/","",
"鬼子来了","","2023-06-24","https://movie.douban.com/subject/1291858/","",
"加勒比海盗4：惊涛怪浪 / Pirates of the Caribbean: On Stranger ...","","2023-06-24","https://movie.douban.com/subject/3227410/","",
"加勒比海盗3：世界的尽头 / Pirates of the Caribbean: At World's...","","2023-06-24","https://movie.douban.com/subject/1418192/","",
"加勒比海盗2：亡灵的宝藏 / Pirates of the Caribbean: Dead Man's...","","2023-06-24","https://movie.douban.com/subject/1315574/","",
"加勒比海盗 / Pirates of the Caribbean: The Curse of the Black ...","","2023-06-24","https://movie.douban.com/subject/1298070/","",
"复仇者联盟5：毁灭之日 / Avengers: Doomsday","","2023-07-14","https://movie.douban.com/subject/36011202/","",
"蜘蛛侠：超越宇宙 / Spider-Man: Beyond the Spider-Verse","","2023-07-14","https://movie.douban.com/subject/35715647/","",
"岁月的童话 / おもひでぽろぽろ","","2023-07-25","https://movie.douban.com/subject/1291588/","",
"我们仍未知道那天所看见的花的名字 / あの日見た花の名前を僕達は...","","2023-07-26","https://movie.douban.com/subject/5397537/","",
"IT狂人 第一季 / The IT Crowd Season 1","","2023-08-20","https://movie.douban.com/subject/1758810/","",
"电影史话 / The Story of Film: An Odyssey","","2023-09-09","https://movie.douban.com/subject/6793337/","",
"真探 第一季 / True Detective Season 1","","2024-01-29","https://movie.douban.com/subject/10748120/","",
"机动战士高达SEED / 機動戦士ガンダムSEED","","2024-01-29","https://movie.douban.com/subject/1766546/","",
"无人知晓 / 誰も知らない","","2024-02-04","https://movie.douban.com/subject/1292337/","",
"怪物","","2024-02-04","https://movie.douban.com/subject/35797709/","",
"坂本龙一：杰作 / Ryuichi Sakamoto | Opus","","2024-05-12","https://movie.douban.com/subject/36491177/","",
"别对映像研出手！ / 映像研には手を出すな！","","2024-07-20","https://movie.douban.com/subject/33438250/","",
